facility_id,jurisdiction_code,jurisdiction_facility_id,registered_business_name,facility_name,abn,acn,street_address,suburb,state,postcode,latitude,longitude,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,facility_website,first_report_year,latest_report_year,latest_report_id,latest_report_url,reports
558844,QLD,Q023GCW005,GOLD COAST CITY COUNCIL,Pimpama Sewage Treatment Plant,84858548460,,Kerkin Road North,Pimpama,QLD,4209,-27.807788,153.3364,2812,Sewerage and Drainage Services,Operation of a sewage treatment plant in accordance with the conditions outlined in the Development Approval.,http://www.goldcoast.qld.gov.au,2008/2009,2022/2023,544368,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q023GCW005,15
572644,QLD,Q058GOL002,GOLD COAST CITY COUNCIL,Reedy Creek Landfill,84858548460,,Bermuda Street,Reedy Creek,QLD,4227,-28.10819444,153.41926667,2921,Waste Treatment and Disposal Services,Landfill,http://www.cityofgoldcoast.com.au/waste,2010/2011,2022/2023,546644,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q058GOL002,13
572688,QLD,Q058GOL005,GOLD COAST CITY COUNCIL,Stapylton Landfill,84858548460,,Rossmanns Road,Stapylton,QLD,4207,-27.7379722222,153.246425,2921,Waste Treatment and Disposal Services,Landfill,http://www.cityofgoldcoast.com.au/waste,2010/2011,2022/2023,547448,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q058GOL005,13
572680,QLD,Q058GOL004,GOLD COAST CITY COUNCIL,Suntown Closed Landfill,84858548460,,Captain Cook Drive,Arundel,QLD,4214,-27.9361416667,153.371822222,2921,Waste Treatment and Disposal Services,Landfill,http://www.cityofgoldcoast.com.au/waste,2010/2011,2022/2023,546614,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q058GOL004,13
572676,QLD,Q058GOL003,GOLD COAST CITY COUNCIL,Tugun Closed Landfill,84858548460,,Boyd Street,Tugun,QLD,4224,-28.16025,153.496922,2921,Waste Treatment and Disposal Services,Landfill,http://www.cityofgoldcoast.com.au/waste,2010/2011,2022/2023,546754,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q058GOL003,13
500644,QLD,Q018GCF001,GOLD COAST FABRICARE SPECIALISTS P/L,Gold Coast Dry Cleaning Specialists,48010780686,,5/21 Ashmore Road,Bundall,QLD,4211,-27.999722,153.340556,9531,Laundry and Dry-Cleaning Services,Drycleaning,,2005/2006,2005/2006,369280,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2006/jurisdiction-facility/Q018GCF001,1
543728,WA,WA0498,GOLD CORPORATION,The Perth Mint Refinery,98838298431,,131 Horrie Miller Drive,Perth Airport,WA,6105,-31.962222,115.9675,2133,"Copper, Silver, Lead and Zinc Smelting and Refining",Precious metal refining,http://www.perthmint.com,2001/2002,2022/2023,545734,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA0498,22
507168,QLD,Q029GCL001,GOLDEN CIRCLE LTD,Golden Circle Northgate,85054355618,054355618,260 Earnshaw Rd,Northgate,QLD,4013,-27.38427,153.073324,1140,Fruit and Vegetable Processing,Fruit and Vegetable Processing & Beverage Manufacturing,http://www.goldencircle.com.au,1999/2000,2022/2023,551516,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q029GCL001,24
539068,WA,WA0140,GOLDEN GROVE OPERATIONS PTY LTD,Golden Grove Operations,92114868325,,50km South of Yalgoo via,Yalgoo,WA,6635,-28.747778,116.939167,0803,Copper Ore Mining,Copper and Zinc mining and processing,https://www.29metals.com/,1998/1999,2022/2023,549314,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA0140,25
580808,WA,WA1285,GOLDEN MILE MILLING PTY LTD,Lakewood Gold Processing Facility,94602161008,602161008,Mt Monger Road,Lakewood,WA,6431,-30.800556,121.540278,2139,Other Basic Non-Ferrous Metal Manufacturing,Toll treatment of gold bearing ore for third parties,,2010/2011,2022/2023,548496,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1285,12
